cod_dep,departamento,cod_mun,municipio,cultivo,desagregacion,ciclo_cultivo,anio,periodo,semestre,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha
13,BOLIVAR,13650,SAN FERNANDO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,10,0,0,
23,CORDOBA,23350,LA APARTADA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,10,0,0,
70,SUCRE,70771,SUCRE,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,193,0,0,
70,SUCRE,70820,TOLU,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2010,2010B,B,5,0,0,
08,ATLANTICO,08137,CAMPO DE LA CRUZ,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2011,2011A,A,741,0,0,
19,CAUCA,19532,PATIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2011,2011B,B,90,0,0,
25,CUNDINAMARCA,25899,ZIPAQUIRA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012A,A,15,0,0,
25,CUNDINAMARCA,25168,CHAGUANI,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012A,A,13,0,0,
25,CUNDINAMARCA,25295,GACHANCIPA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012A,A,0,0,0,2.25
88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012A,A,0,0,0,0.5
66,RISARALDA,66383,LA CELIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012B,B,26,0,0,
88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2012,2012B,B,0,0,0,0.5
88,SAN ANDRES Y PROVIDENCIA,88564,PROVIDENCIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2013,2013A,A,1,0,0,1.0
88,SAN ANDRES Y PROVIDENCIA,88564,PROVIDENCIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2013,2013B,B,1,0,0,1.0
08,ATLANTICO,08832,TUBARA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,300,0,0,
08,ATLANTICO,08558,POLONUEVO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,10,0,0,
13,BOLIVAR,13580,REGIDOR,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,400,0,0,
13,BOLIVAR,13838,TURBANA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2014,2014A,A,190,0,0,
