cod_mun,municipio,cod_dep,departamento,lat,lon
05642,SALGAR,05,ANTIOQUIA,5.96603,-75.97827
05628,SABANALARGA,05,ANTIOQUIA,6.89706,-75.79434
05615,RIONEGRO,05,ANTIOQUIA,6.15343,-75.40893
05607,RETIRO,05,ANTIOQUIA,6.05127,-75.51538
05604,REMEDIOS,05,ANTIOQUIA,6.99633,-74.56187
05591,PUERTO TRIUNFO,05,ANTIOQUIA,5.95844,-74.6811
05585,PUERTO NARE,05,ANTIOQUIA,6.13059,-74.70102
05579,PUERTO BERRÍO,05,ANTIOQUIA,6.48469,-74.5234
05576,PUEBLORRICO,05,ANTIOQUIA,5.81508,-75.86592
05543,PEQUE,05,ANTIOQUIA,7.04686,-75.89305
05541,PEÑOL,05,ANTIOQUIA,6.23574,-75.22704
05501,OLAYA,05,ANTIOQUIA,6.61021,-75.77691
05495,NECHÍ,05,ANTIOQUIA,7.98934,-74.79153
05490,NECOCLÍ,05,ANTIOQUIA,8.49588,-76.67458
05483,NARIÑO,05,ANTIOQUIA,5.58542,-75.1885
05480,MUTATÁ,05,ANTIOQUIA,7.32906,-76.46552
05467,MONTEBELLO,05,ANTIOQUIA,5.91726,-75.51902
05440,MARINILLA,05,ANTIOQUIA,6.19126,-75.30166
05425,MACEO,05,ANTIOQUIA,6.52083,-74.70862
05411,LIBORINA,05,ANTIOQUIA,6.72233,-75.78461
05400,LA UNIÓN,05,ANTIOQUIA,5.94284,-75.36263
05390,LA PINTADA,05,ANTIOQUIA,5.74083,-75.60703
05376,LA CEJA,05,ANTIOQUIA,5.98875,-75.43434
05368,JERICÓ,05,ANTIOQUIA,5.77592,-75.76798
05364,JARDÍN,05,ANTIOQUIA,5.57692,-75.81755
05360,ITAGÜÍ,05,ANTIOQUIA,6.17121,-75.61653
05353,HISPANIA,05,ANTIOQUIA,5.79747,-75.91214
05347,HELICONIA,05,ANTIOQUIA,6.21491,-75.75276
05321,GUATAPÉ,05,ANTIOQUIA,6.24804,-75.1543
05318,GUARNE,05,ANTIOQUIA,6.27345,-75.44171
05315,GUADALUPE,05,ANTIOQUIA,6.86375,-75.22656
05313,GRANADA,05,ANTIOQUIA,6.12934,-75.12671
05310,GÓMEZ PLATA,05,ANTIOQUIA,6.71157,-75.18994
05308,GIRARDOTA,05,ANTIOQUIA,6.3857,-75.44559
05234,DABEIBA,05,ANTIOQUIA,6.99002,-76.31412
05284,FRONTINO,05,ANTIOQUIA,6.69038,-76.33272
05361,ITUANGO,05,ANTIOQUIA,7.30288,-75.85241
05847,URRAO,05,ANTIOQUIA,6.33268,-76.25664
05475,MURINDÓ,05,ANTIOQUIA,6.83215,-76.70636
05873,VIGÍA DEL FUERTE,05,ANTIOQUIA,6.46288,-76.70186
05045,APARTADÓ,05,ANTIOQUIA,7.89585,-76.5579
27615,RIOSUCIO,27,CHOCÓ,7.3954,-77.24293
27001,QUIBDÓ,27,CHOCÓ,5.9368,-76.66634
27006,ACANDÍ,27,CHOCÓ,8.42408,-77.27829
27025,ALTO BAUDÓ,27,CHOCÓ,5.63456,-77.08442
27050,ATRATO,27,CHOCÓ,5.55427,-76.60884
27073,BAGADÓ,27,CHOCÓ,5.50347,-76.19688
27075,BAHÍA SOLANO,27,CHOCÓ,6.30853,-77.35117
27077,BAJO BAUDÓ,27,CHOCÓ,5.0113,-77.21722
27099,BOJAYÁ,27,CHOCÓ,6.472,-77.09911
27135,EL CANTÓN DEL SAN PABLO,27,CHOCÓ,5.35926,-76.77295
27150,CARMEN DEL DARIÉN,27,CHOCÓ,7.03643,-76.97542
27160,CÉRTEGUI,27,CHOCÓ,5.38846,-76.52265
27205,CONDOTO,27,CHOCÓ,5.07672,-76.52113
27245,EL CARMEN DE ATRATO,27,CHOCÓ,5.80887,-76.19177
27250,EL LITORAL DEL SAN JUAN,27,CHOCÓ,4.24825,-76.96573
27361,ISTMINA,27,CHOCÓ,4.73707,-76.87159
27372,JURADÓ,27,CHOCÓ,7.10648,-77.68179
27413,LLORÓ,27,CHOCÓ,5.58413,-76.38332
27425,MEDIO ATRATO,27,CHOCÓ,6.03565,-76.6694
27430,MEDIO BAUDÓ,27,CHOCÓ,5.11991,-76.98396
27450,MEDIO SAN JUAN,27,CHOCÓ,4.8182,-76.80243
27491,NÓVITA,27,CHOCÓ,4.85397,-76.61673
27495,NUQUÍ,27,CHOCÓ,5.69419,-77.29467
27580,RÍO IRÓ,27,CHOCÓ,5.17486,-76.49248
27600,RÍO QUITO,27,CHOCÓ,5.57295,-76.81152
27660,SAN JOSÉ DEL PALMAR,27,CHOCÓ,4.96044,-76.27904
27745,SIPÍ,27,CHOCÓ,4.59363,-76.53849
27787,TADÓ,27,CHOCÓ,5.26668,-76.34055
27800,UNGUÍA,27,CHOCÓ,8.11685,-77.10272
27810,UNIÓN PANAMERICANA,27,CHOCÓ,5.30041,-76.64238
52835,SAN ANDRÉS DE TUMACO,52,NARIÑO,2.27767,-78.5959
23001,MONTERÍA,23,CÓRDOBA,8.58122,-75.94663
23068,AYAPEL,23,CÓRDOBA,8.26596,-75.04767
23079,BUENAVISTA,23,CÓRDOBA,8.19051,-75.43107
23090,CANALETE,23,CÓRDOBA,8.72287,-76.23434
23162,CERETÉ,23,CÓRDOBA,8.8957,-75.83335
23168,CHIMÁ,23,CÓRDOBA,9.1059,-75.64711
23182,CHINÚ,23,CÓRDOBA,9.0227,-75.34844
23189,CIÉNAGA DE ORO,23,CÓRDOBA,8.84407,-75.60698
23300,COTORRA,23,CÓRDOBA,9.05516,-75.78063
23350,LA APARTADA,23,CÓRDOBA,8.04997,-75.28913
23417,LORICA,23,CÓRDOBA,9.1638,-75.91138
23419,LOS CÓRDOBAS,23,CÓRDOBA,8.84145,-76.2899
23464,MOMIL,23,CÓRDOBA,9.26159,-75.65256
23500,MOÑITOS,23,CÓRDOBA,9.19936,-76.12757
23555,PLANETA RICA,23,CÓRDOBA,8.28636,-75.61059
23570,PUEBLO NUEVO,23,CÓRDOBA,8.48479,-75.40214
23574,PUERTO ESCONDIDO,23,CÓRDOBA,8.98501,-76.19082
23586,PURÍSIMA DE LA CONCEPCIÓN,23,CÓRDOBA,9.28784,-75.71931
23660,SAHAGÚN,23,CÓRDOBA,8.79936,-75.43421
